{
debugQuery: { },
pageNumbers: 76,
goods: [
{
partnumberVendorId: "168667566_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "AisimaRo XPB42-688 4.2公斤单桶迷你洗衣机 绿色 带甩干脱水半自动抗菌消毒款婴儿小洗衣机单缸洗衣机",
catentryId: "",
countOfarticle: "2158",
partnumber: "168667566",
price: "139.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"139.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"4.000000","countOfarticle":"2158","praiseRate":"98.000000","goodsQualityScore":"0.000270","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"2158","categoryId":"244006","goodQualityScore":"0.000210","totalScore":"3994.516113","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"2158","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.625050","goodQualityScore":"0.000210","shopQualityScore":"0.743650","goodAppQualityScore":"0.000270","goodConQualityScore":"0.780000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.064000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
ZYLY: "0",
appAttrTitle: [
"体积小不占地",
"适合小件衣物",
"宝宝专用"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
commentShow: "2100+"
},
saleStatus: 0
},
{
partnumberVendorId: "168672655_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "艾思玛AisimaRo XPB42-688 粉色 单桶小型迷你洗衣机带甩干脱水半自动婴儿小洗衣机",
catentryId: "",
countOfarticle: "2158",
partnumber: "168672655",
price: "139.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"139.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"5.000000","countOfarticle":"2158","praiseRate":"98.000000","goodsQualityScore":"0.000290","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"2158","categoryId":"244006","goodQualityScore":"0.000290","totalScore":"3994.516113","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"2158","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.625050","goodQualityScore":"0.000290","shopQualityScore":"0.743650","goodAppQualityScore":"0.000000","goodConQualityScore":"0.000000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.000000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机 学生宿舍 租房专用",
ZYLY: "0",
appAttrTitle: [
"体积小不占地",
"适合小件衣物",
"宝宝专用"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
commentShow: "2100+"
},
saleStatus: 0
},
{
partnumberVendorId: "168668120_0070074369",
vendorId: "0070074369",
vendorName: "多迷尼专营店",
inventory: "0",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机",
brandId: "000025P88",
brandName: "艾思玛(AisimaRo)",
catentdesc: "艾思玛(AisimaRo) XPB42-688蓝色 4.2kg单桶小型迷你洗衣机 半自动婴儿小洗衣机 适合单身贵族 单缸",
catentryId: "",
countOfarticle: "2158",
partnumber: "168668120",
price: "139.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"139.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"16499293835745922621","short_brand_Id_1":"1125344828140175573","isKAcomoodity":"1","totalCount":"18.000000","countOfarticle":"2158","praiseRate":"98.000000","goodsQualityScore":"0.001760","shopQualityScore":"0.743650","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"2158","categoryId":"244006","goodQualityScore":"0.001530","totalScore":"3994.516113","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"2158","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.625050","goodQualityScore":"0.001530","shopQualityScore":"0.743650","goodAppQualityScore":"0.002090","goodConQualityScore":"0.848900","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.062595","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401004",
picVersion: "2001",
auxdescription: "小件衣物专用 体积小不占地 儿童洗衣机",
ZYLY: "0",
appAttrTitle: [
"小型迷你",
"杀菌抗菌",
"纯铜电机"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://duominidianqi.suning.com",
paramValue: "XPB42-688",
goodType: "Z001",
commentShow: "2100+"
},
saleStatus: 0
},
{
partnumberVendorId: "10576667182_0070074369",
vendorId: "0070074369",
